"Language","Source Text","Translated Text"
"de","Fullsize","Ganzer Bildschirm"
"de","Fullsize View","Ganzer Bildschirm"
"de","Normal View","Normale Ansicht"
"de","Customer name","Kundenname"
"de","Item name","Artikelname"
"de","Bank import","Bankdaten importieren"
"de","VAT Declaration","Mehrwertsteuerdeklaration"
"de","Payment export","Zahlungsdatei erstellen"
"de","Taxes","Steuern"
"de","Transaction Type","Transaktionstyp"
"de","ESR Participant Number","ESR-Teilnehmernummer"
"de","ESR Reference","ESR-Referenz"
"de","Supplier data added","Lieferantendetails hinzugefügt"
"de","Invoice details added","Rechnungsdetails hinzugefügt"
"de","Payment Files","Transferdateien"
"de","No payment entries to be paid found with status draft","Es wurden keine offenen Zahlungen (Entwurf) gefunden."
"de","Exports the selected payment entries for execution by file transfer to a bank","Exportiert die gewählten Zahlungen zur Ausführung durch eine Bank"
"de","Payment entries","Zahlungen"
"de","Create payment file","Zahlungsdatei erstellen"
"de","Import payment entries from bank account file","Importiert Zahlungen aus einer Bankkonto-Datei"
"de","Payment account","Konto"
"de","Automatically submit","Automatisch buchen"
"de","Parse","Einlesen"
"de","File","Datei"
"de","Please select a file.","Bitte eine Datei wählen"
"de","Error reading file","Fehler beim lesen der Datei"
"de","Successfully imported {0} payments.","{0} Zahlugen erfolgreich importiert."
"de","CAMT.054 Transaction Notification","CAMT.054 Zahlungsinformationen"
"de","CAMT.053 Bank Statement","CAMT.053 Kontoauszug"
"de","Unable to read structure. Please make sure that you have selected the correct format.","Struktur kann nicht gelesen werden. Bitte prüfen Sie, ob Sie das korrekte Format ausgewählt haben."
"de","Please select at least one payment.","Bitte mindestens eine Zahlung auswählen."
"de","No payment entries to be paid found with status draft","Es wurden keine Zahlungen mit Status Entwurf gefunden"
"de","End","Ende"
"de","VAT type","Abrechnungstyp"
"de","effective","Effektiv"
"de","flat","Saldo"
"de","Revenue","Umsatz"
"de","Get values","Werte holen"
"de","Recalculate","Neu berechnen"
"de","Total revenue (200)","Total der vereinbarten bzw. vereinnahmten Entgelte (Art. 39), inkl. Entgelte aus Übertragungen im Meldeverfahren sowie aus Leistungen im Ausland (200)"
"de","Non-taxable revenue (205)","Nicht steuerpflichtige Umsätze (205)"
"de","Tax-free services (220)","Von der Steuer befreite Leistungen (u.a. Exporte; Art. 23), von der Steuer befreite Lesitungen an begünstigte Einrichtungen und Personen (220)"
"de","Revenue abroad (221)","Leistungen im Ausland (221)"
"de","Transfers (225)","Übertragung im Meldeverfahren (Art. 38, bitte zusätzlich Form. 764 einreichen) (225)"
"de","Non-taxable services (230)","Nicht steuerbare Leistungen (Art 21), für die nicht nach Art. 22 optiert wird (230)"
"de","Losses (235)","Entgeltsminderung (235)"
"de","Miscellaneous (280)","Diverses (z.B. Wert des Bodens) (280)"
"de","Total deductions (289)","Total Abzüge (289)"
"de","Taxable revenue (299)","Steuerbarer Gesamtumsatz (299)"
"de","Tax calculation","Steuerberechnung"
"de","Normal (301)","Normal (301)"
"de","Reduced (311)","Reduziert (311)"
"de","Lodging (341)","Beherbergung (341)"
"de","Amount 1 (321)","1. Satz (321)"
"de","Amount 2 (331)","2. Satz (331)"
"de","Additional (381)","Bezugsteuer (381)"
"de","Normal (302)","Normal (302)"
"de","Reduced (312)","Reduziert (312)"
"de","Lodging (342)","Beherbergung (342)"
"de","Amount 1 (322)","1. Satz (322)"
"de","Amount 2 (332)","2. Satz (332)"
"de","Additional (382)","Bezugsteuer (382)"
"de","Normal rate (%)","Normal (%)"
"de","Reduced rate (%)","Reduziert (%)"
"de","Lodging rate (%)","Beherbergung (%)"
"de","Rate 1 (%)","1. Satz (%)"
"de","Rate 2 (%)","2. Satz (%)"
"de","Normal tax (300)","Normale Steuer (300)"
"de","Reduced tax (310)","Reduzierte Steuer (310)"
"de","Lodging tax (340)","Beherbergungssteuer (340)"
"de","Tax 1 (320)","Steuer Satz 1 (320)"
"de","Tax 2 (330)","Steuer Satz 2 (330)"
"de","Additional tax (380)","Bezugssteuer (380)"
"de","Summary","Zusammenfassung"
"de","Total tax (399)","Total geschuldete Steuer (399)"
"de","Pretax material and services (400)","Vorsteuer auf Material- und Dienstleistungsaufwand (400)"
"de","Pretax investments (405)","Vorsteuer auf Investitionen und übrigem Betriebsaufwand (405)"
"de","Missing pretax (410)","Einlageentsteuerung (Art. 32, bitte detaillierte Aufstellung beilegen) (410)"
"de","Pretax correction mixed (415)","Vorsteuerkorrekturen: gemischte Verwendung (Art. 30), Eigenverbrauch (Art. 31) (415)"
"de","Pretax correction other (420)","Vorsteuerkorrekturen: Nicht-Entgelte wie Subventionen, Tourismusabgaben (Art. 33 Abs 2) (420)"
"de","Form 1050 (470)","Steueranrechnung gemäss Formular Nr. 1050 (470)"
"de","Form 1055 (471)","Steueranrechnung gemäss Formular Nr. 1055 (471)"
"de","Total pretax reductions (479)","Total Vorsteuer (479)"
"de","Payable tax (500)","An die Eigd. Steuerverwaltung zu bezahlender Betrag (500)"
"de","Balance (510)","Guthaben der steuerpflichtigen Person (510)"
"de","Other cashflows","Andere Mittelflüsse (Art. 18 Abs 2)"
"de","Grants (900)","Subventionen, durch Kurvereine eingenommene Toursimusabgaben, Entsorgungs- und Wasserwerkbeiträge (Bst. a-c) (900)"
"de","Donations (910)","Spenden, Dividenden, Schadenersatz usw. (Bst. d-l) (910)"
"de","VAT tax mode","Steuerabrechnungsart"
"de","Effective tax","Effektive Steuer"
"de","Normal rate tax template","Steuervorlage normal"
"de","Reduced rate tax template","Steuervorlage reduziert"
"de","Lodging rate tax template","Steuervorlage Beherbergung"
"de","Abroad tax template","Steuervorlage Auslandumsatz"
"de","Tax-free tax template","Steuervorlage steuerfrei"
"de","Pretax account","Abrechnungskonto MWST"
"de","Flat tax","Saldobesteuerung"
"de","Rate 1 tax template","Steuertemplate Satz 1"
"de","Rate 2 tax template","Steuertemplate Satz 2"
"de","Configuration","Einstellungen"
"de","VAT configuration","Mehrwertsteuereinstellungen"
"de","Match payments","Zahlungen zuordnen"
"de","Helps to match unpaid sales invoices against received payments","Hilft Zahlungseingänge unbezahlten Ausgangsrechnungen zu zu ordnen"
"de","Sales invoices","Rechnungen"
"de","Sales invoice","Rechnung"
"de","Due date","Zahlbarkeit"
"de","Payment entries","Zahlungseingänge"
"de","Payment entry","Zahlung"
"de","Match","Zuordnen"
"de","Please select a sales invoice.","Bitte eine Rechnung wählen"
"de","Please select a payment entry.","Bitte einen Zahlungseingang wählen"
"de","Payment entry not found","Zahlung nicht gefunden"
"de","Customer not found","Kunde nicht gefunden"
"de","Done","Fertig"
"de","No unpaid sales invoices found.","Es wurden keine unbezahlten Rechnungen gefunden."
"de","No unallocated payment entries found.","Es wurden keine nicht-zugewiesene Zahlungen gefunden."
"de","Open bank import","Bankdaten importieren"
"de","Matched {0} sales invoices.","{0} Rechnungen abgeglichen"
"de","No matches found.","Keine Treffer gefunden"
"de","Auto match by ID","Abgleich per ID"
"de","Auto match by ESR","Abgleich per ESR"
"de","Some payments were skipped due to errors (check the payment file for details):","Einige Zahlungen wurden wegen Fehlern übersprungen (Zahlungsdatei enthält Details):"
"de","ESR Participation Number","ESR Teilnehmernummer"
"de","ESR Reference Number","ESR Referenznummer"
"de","Salary Certificate","Lohnausweis"
"de","Please save the record before populating it with data","Bitte speichern Sie den Datensatz bevor Daten eingelesen werden"
"de","Salary slip information collected","Lohnauszüge eingelesen"
"de","Calculate totals","Summen berechnen"
"de","Totals have been updated","Summen wurden aktualisiert"
"de","Please select a valid employee.","Bitte einen gültigen Mitarbeiter wählen"
"de","Start date","Von Datum"
"de","End date","Bis Datum"
"de","Benefits","Vorteile"
"de","Certificate type","Lohnausweisart"
"de","Pension","Rente"
"de","Free transport","Unentgeltliche Beförderung zwischen Wohn- und Arbeitsort"
"de","Lunch checks","Kantinenverpflegung/Lunch-Checks"
"de","Section salary","Abschnitt Lohn"
"de","1. Salary","1. Lohn/Rente"
"de","2.1 Catering","2.1 Verpflegung, Unterkunft"
"de","2.2 Car","2.2 Privatanteil Geschäftswagen"
"de","2.3 Other salary","2.3 Andere"
"de","3 Irregular","3. Unregelmässige Leistungen"
"de","4 Capital","4. Kapitalleistungen"
"de","2.3 Other salary description","2.3 Beschreibung Andere"
"de","3 Irregular description","3. Beschreibung unregelmässige Leistungen"
"de","4 Capital description","4. Beschreibung Kapitalleistungen"
