"Language","Source Text","Translated Text"
"fr","Fullsize","Taille réelle"
"fr","Fullsize View","Vue pleine grandeur"
"fr","Normal View","Vue normale"
"fr","Customer name","Nom du client"
"fr","Item name","Nom de l'article"
"fr","Bank import","Importation bancaire"
"fr","VAT Declaration","Déclaration de TVA"
"fr","Payment export","Exportation de paiement"
"fr","Taxes","Les impôts"
"fr","Transaction Type","Type de transaction"
"fr","ESR Participant Number","Numéro de participant ESR"
"fr","ESR Reference","Référence ESR"
"fr","Supplier data added","Données fournisseur ajoutées"
"fr","Invoice details added","Détails de la facture ajoutés"
"fr","Payment Files","Fichiers de paiement"
"fr","No payment entries to be paid found with status draft","Aucune entrée de paiement à payer trouvée avec le projet de statut"
"fr","Exports the selected payment entries for execution by file transfer to a bank","Exporte les écritures de paiement sélectionnées pour exécution par transfert de fichiers vers une banque"
"fr","Payment entries","Entrées de paiement"
"fr","Create payment file","Créer un fichier de paiement"
"fr","Import payment entries from bank account file","Importer les écritures de paiement à partir du fichier de compte bancaire"
"fr","Payment account","Compte de paiement"
"fr","Automatically submit","Soumettre automatiquement"
"fr","Parse","Analyser"
"fr","File","Déposer"
"fr","Please select a file.","Veuillez sélectionner un fichier."
"fr","Error reading file","Erreur de lecture du fichier"
"fr","Successfully imported {0} payments.","{0} paiements importés avec succès."
"fr","CAMT.054 Transaction Notification","Notification de transaction CAMT.054"
"fr","CAMT.053 Bank Statement","CAMT.053 Relevé bancaire"
"fr","Unable to read structure. Please make sure that you have selected the correct format.","Impossible de lire la structure. Veuillez vous assurer que vous avez sélectionné le bon format."
"fr","Please select at least one payment.","Veuillez sélectionner au moins un paiement."
"fr","No payment entries to be paid found with status draft","Aucune entrée de paiement à payer trouvée avec le projet de statut"
"fr","End","Finir"
"fr","VAT type","Type de TVA"
"fr","effective","efficace"
"fr","flat","plat"
"fr","Revenue","Revenu"
"fr","Get values","Obtenez des valeurs"
"fr","Recalculate","Recalculer"
"fr","Total revenue (200)","Chiffre d'affaires total (200)"
"fr","Non-taxable revenue (205)","Recettes non imposables (205)"
"fr","Tax-free services (220)","Services hors taxes (220)"
"fr","Revenue abroad (221)","Chiffre d'affaires à l'étranger (221)"
"fr","Transfers (225)","Transferts (225)"
"fr","Non-taxable services (230)","Services non taxables (230)"
"fr","Losses (235)","Pertes (235)"
"fr","Miscellaneous (280)","Divers (280)"
"fr","Total deductions (289)","Total des déductions (289)"
"fr","Taxable revenue (299)","Recettes imposables (299)"
"fr","Tax calculation","Calcul de la taxe"
"fr","Normal (301)","Normale (301)"
"fr","Reduced (311)","Réduit (311)"
"fr","Lodging (341)","Hébergement (341)"
"fr","Amount 1 (321)","Montant 1 (321)"
"fr","Amount 2 (331)","Montant 2 (331)"
"fr","Additional (381)","Supplémentaire (381)"
"fr","Normal (302)","Normal (302)"
"fr","Reduced (312)","Réduit (312)"
"fr","Lodging (342)","Hébergement (342)"
"fr","Amount 1 (322)","Montant 1 (322)"
"fr","Amount 2 (332)","Montant 2 (332)"
"fr","Additional (382)","Supplémentaire (382)"
"fr","Normal rate (%)","Taux normal (%)"
"fr","Reduced rate (%)","Tarif réduit (%)"
"fr","Lodging rate (%)","Taux d'hébergement (%)"
"fr","Rate 1 (%)","Taux 1 (%)"
"fr","Rate 2 (%)","Taux 2 (%)"
"fr","Normal tax (300)","Taxe normale (300)"
"fr","Reduced tax (310)","Taxe réduite (310)"
"fr","Lodging tax (340)","Taxe d'hébergement (340)"
"fr","Tax 1 (320)","Impôt 1 (320)"
"fr","Tax 2 (330)","Impôt 2 (330)"
"fr","Additional tax (380)","Taxe supplémentaire (380)"
"fr","Summary","Résumé"
"fr","Total tax (399)","Taxe totale (399)"
"fr","Pretax material and services (400)","Matériel et services avant impôts (400)"
"fr","Pretax investments (405)","Investissements avant impôts (405)"
"fr","Missing pretax (410)","Prétaxe manquant (410)"
"fr","Pretax correction mixed (415)","Correction Pretax mixte (415)"
"fr","Pretax correction other (420)","Pretax correction autre (420)"
"fr","Form 1050 (470)","Formulaire 1050 (470)"
"fr","Form 1055 (471)","Formulaire 1055 (471)"
"fr","Total pretax reductions (479)","Total des réductions avant impôts (479)"
"fr","Payable tax (500)","Taxe à payer (500)"
"fr","Balance (510)","Equilibre (510)"
"fr","Other cashflows","Autres flux de trésorerie"
"fr","Grants (900)","Subventions (900)"
"fr","Donations (910)","Dons (910)"
"fr","VAT tax mode","Mode de taxe TVA"
"fr","Effective tax","Impôt effectif"
"fr","Normal rate tax template","Modèle de taxe au taux normal"
"fr","Reduced rate tax template","Modèle de taxe à taux réduit"
"fr","Lodging rate tax template","Modèle de taxe sur le taux d'hébergement"
"fr","Abroad tax template","Modèle de taxe à l'étranger"
"fr","Tax-free tax template","Modèle d'impôt libre d'impôt"
"fr","Pretax account","Compte Pretax"
"fr","Flat tax","Taxe forfaitaire"
"fr","Rate 1 tax template","Modèle de taxe tarifaire 1"
"fr","Rate 2 tax template","Modèle de taxe tarifaire 2"
"fr","Configuration","Configuration"
"fr","VAT configuration","Configuration de la TVA"
"fr","Match payments","Faire correspondre les paiements"
"fr","Helps to match unpaid sales invoices against received payments","Aide à faire correspondre les factures de vente impayées avec les paiements reçus"
"fr","Sales invoices","Factures des ventes"
"fr","Sales invoice","Facture de vente"
"fr","Due date","Date d'échéance"
"fr","Payment entries","Entrées de paiement"
"fr","Payment entry","Saisie de paiement"
"fr","Match","Correspondre"
"fr","Please select a sales invoice.","Veuillez sélectionner une facture de vente."
"fr","Please select a payment entry.","Veuillez sélectionner une entrée de paiement."
"fr","Payment entry not found","Entrée de paiement introuvable"
"fr","Customer not found","Client non trouvé"
"fr","Done","Fait"
"fr","No unpaid sales invoices found.","Aucune facture de vente impayée trouvée."
"fr","No unallocated payment entries found.","Aucune entrée de paiement non allouée trouvée."
"fr","Open bank import","Importation bancaire ouverte"
"fr","Matched {0} sales invoices.","{0} factures de vente correspondantes."
"fr","No matches found.","Aucun résultat."
"fr","Auto match by ID","Correspondance automatique par ID"
"fr","Auto match by ESR","Correspondance automatique par ESR"
"fr","Some payments were skipped due to errors (check the payment file for details):","Certains paiements ont été ignorés en raison d'erreurs (consultez le fichier de paiement pour plus de détails):"
"fr","ESR Participation Number","Numéro de participation ESR"
"fr","ESR Reference Number","Numéro de référence ESR"
"fr","Salary Certificate","Attestation de salaire"
"fr","Please save the record before populating it with data","Veuillez sauvegarder l'enregistrement avant de le remplir avec des données"
"fr","Salary slip information collected","Informations sur les fiches de salaire collectées"
"fr","Calculate totals","Calculer les totaux"
"fr","Totals have been updated","Les totaux ont été mis à jour"
"fr","Please select a valid employee.","Veuillez sélectionner un employé valide."
"fr","Start date","Date de début"
"fr","End date","Date de fin"
"fr","Benefits","Avantages"
"fr","Certificate type","Type de certificat"
"fr","Pension","Pension"
"fr","Free transport","Transport gratuit"
"fr","Lunch checks","Chèques déjeuner"
"fr","Section salary","Salaire de section"
"fr","1. Salary","1. Salaire"
"fr","2.1 Catering","2.1 Restauration"
"fr","2.2 Car","2.2 Voiture"
"fr","2.3 Other salary","2.3 Autre salaire"
"fr","3 Irregular","3 Irrégulier"
"fr","4 Capital","4 Capitale"
"fr","2.3 Other salary description","2.3 Autre description de salaire"
"fr","3 Irregular description","3 Description irrégulière"
"fr","4 Capital description","4 Description de la capitale"
"fr","5 Participation","5 Participation"
"fr","6 Board","6 Conseil"
"fr","7 Other","7 Autre"
"fr","7 Other description","7 Autre description"
"fr","8 Gross salary","8 Salaire brut"
"fr","9 Deductions AHV/IV/EO/ALV/NBUV","9 Déductions AHV / IV / EO / ALV / NBUV"
"fr","10.1 Deduction pension","10.1 Retenue de la pension"
"fr","10.2 Deduction pension additional","10.2 Déduction pension supplémentaire"
"fr","11 Net salary","11 Salaire net"
"fr","12 Source tax deduction","12 Déduction fiscale à la source"
"fr","13.1.1 Effective expenses travel","13.1.1 Frais de déplacement effectifs"
"fr","13.1.2 Effective other expenses","13.1.2 Autres dépenses effectives"
"fr","13.2.1 Representation expenses","13.2.1 Frais de représentation"
"fr","13.2.2 Car expenses","13.2.2 Frais de voiture"
"fr","13.2.3 Other net expenses","13.2.3 Autres charges nettes"
"fr","13.3 Education","13.3 Éducation"
"fr","14 Other salary sides","14 Autres aspects salariaux"
"fr","15 Remarks","15 remarques"
"fr","Label Printer","imprimante d'étiquettes"
"fr","Create Test PDF","Créer un PDF de test"
"fr","Create Label","Créer une étiquette"
"fr","Canton","Canton"
"fr","Canton Code","Code de canton"
"fr","Country Code","Code postal"
"fr","Set","Ensemble"
"fr","Import Pincodes","Importer des codes PIN"
"fr","Import started...","L'importation a commencé ..."
"fr","Successfully imported","Importé avec succès"
"fr","Abacus Export","Exportation d'Abacus"
"fr","Export General Ledger to an Abacus transfer file","Exporter le grand livre vers un fichier de transfert Abacus"
"fr","to","à"
"fr","Create File","Créer un fichier"
"fr","more records available (not shown)","plus d'enregistrements disponibles (non affichés)"
"fr","No general ledger entries found.","Aucune entrée du grand livre n'a été trouvée."
"fr","Export flags reset","Réinitialisation des indicateurs d'exportation"
"fr","Exported to Abacus","Exporté vers Abacus"
"fr","Reset export flags","Réinitialiser les indicateurs d'exportation"
"fr","ERPNextSwiss Settings","Paramètres ERPNextSwiss"
"fr","Default Customer","Client par défaut"
"fr","Use this to define a default customer","Utilisez ceci pour définir un client par défaut"
"fr","Invoice Code Line Scanning","Balayage de la ligne de code de facture"
"fr","Default Item","Élément par défaut"
"fr","Contract","Contracter"
"fr","Contracts","Contrats"
"fr","Automated Payments","Paiements automatisés"
"fr","Planning Period (Days)","Période de planification (jours)"
