"pincode","city","canton","canton_code","country","country_code"
1000,"Lausanne","Waadt","VD","Schweiz","CH"
1003,"Lausanne","Waadt","VD","Schweiz","CH"
1004,"Lausanne","Waadt","VD","Schweiz","CH"
1005,"Lausanne","Waadt","VD","Schweiz","CH"
1006,"Lausanne","Waadt","VD","Schweiz","CH"
1007,"Lausanne","Waadt","VD","Schweiz","CH"
1008,"Jouxtens-Mézery","Waadt","VD","Schweiz","CH"
1008,"Prilly","Waadt","VD","Schweiz","CH"
1009,"Pully","Waadt","VD","Schweiz","CH"
1010,"Lausanne","Waadt","VD","Schweiz","CH"
1011,"Lausanne","Waadt","VD","Schweiz","CH"
1012,"Lausanne","Waadt","VD","Schweiz","CH"
1015,"Lausanne","Waadt","VD","Schweiz","CH"
1018,"Lausanne","Waadt","VD","Schweiz","CH"
1020,"Renens VD","Waadt","VD","Schweiz","CH"
1022,"Chavannes-près-Renens","Waadt","VD","Schweiz","CH"
1023,"Crissier","Waadt","VD","Schweiz","CH"
1024,"Ecublens VD","Waadt","VD","Schweiz","CH"
1025,"St-Sulpice VD","Waadt","VD","Schweiz","CH"
1026,"Denges","Waadt","VD","Schweiz","CH"
1026,"Echandens","Waadt","VD","Schweiz","CH"
1027,"Lonay","Waadt","VD","Schweiz","CH"
1028,"Préverenges","Waadt","VD","Schweiz","CH"
1029,"Villars-Ste-Croix","Waadt","VD","Schweiz","CH"
1030,"Bussigny-près-Lausanne","Waadt","VD","Schweiz","CH"
1031,"Mex VD","Waadt","VD","Schweiz","CH"
1032,"Romanel-sur-Lausanne","Waadt","VD","Schweiz","CH"
1033,"Cheseaux-sur-Lausanne","Waadt","VD","Schweiz","CH"
1034,"Boussens","Waadt","VD","Schweiz","CH"
1035,"Bournens","Waadt","VD","Schweiz","CH"
1036,"Sullens","Waadt","VD","Schweiz","CH"
1037,"Etagnières","Waadt","VD","Schweiz","CH"
1038,"Bercher","Waadt","VD","Schweiz","CH"
1040,"St-Barthélemy VD","Waadt","VD","Schweiz","CH"
1040,"Villars-le-Terroir","Waadt","VD","Schweiz","CH"
1040,"Echallens","Waadt","VD","Schweiz","CH"
1041,"Dommartin","Waadt","VD","Schweiz","CH"
1041,"Poliez-Pittet","Waadt","VD","Schweiz","CH"
1041,"Bottens","Waadt","VD","Schweiz","CH"
1041,"Naz","Waadt","VD","Schweiz","CH"
1041,"Montaubion-Chardonney","Waadt","VD","Schweiz","CH"
1041,"Poliez-le-Grand","Waadt","VD","Schweiz","CH"
1042,"Bettens","Waadt","VD","Schweiz","CH"
1042,"Bioley-Orjulaz","Waadt","VD","Schweiz","CH"
1042,"Assens","Waadt","VD","Schweiz","CH"
1043,"Sugnens","Waadt","VD","Schweiz","CH"
1044,"Fey","Waadt","VD","Schweiz","CH"
1045,"Ogens","Waadt","VD","Schweiz","CH"
1046,"Rueyres","Waadt","VD","Schweiz","CH"
1047,"Oppens","Waadt","VD","Schweiz","CH"
1052,"Le Mont-sur-Lausanne","Waadt","VD","Schweiz","CH"
1053,"Bretigny-sur-Morrens","Waadt","VD","Schweiz","CH"
1053,"Cugy VD","Waadt","VD","Schweiz","CH"
1054,"Morrens VD","Waadt","VD","Schweiz","CH"
1055,"Froideville","Waadt","VD","Schweiz","CH"
1058,"Villars-Tiercelin","Waadt","VD","Schweiz","CH"
1059,"Peney-le-Jorat","Waadt","VD","Schweiz","CH"
1061,"Villars-Mendraz","Waadt","VD","Schweiz","CH"
1062,"Sottens","Waadt","VD","Schweiz","CH"
1063,"Peyres-Possens","Waadt","VD","Schweiz","CH"
1063,"Boulens","Waadt","VD","Schweiz","CH"
1063,"Chapelle-sur-Moudon","Waadt","VD","Schweiz","CH"
1063,"Martherenges","Waadt","VD","Schweiz","CH"
1066,"Epalinges","Waadt","VD","Schweiz","CH"
1068,"Les Monts-de-Pully","Waadt","VD","Schweiz","CH"
1070,"Puidoux","Waadt","VD","Schweiz","CH"
1071,"Rivaz","Waadt","VD","Schweiz","CH"
1071,"St-Saphorin (Lavaux)","Waadt","VD","Schweiz","CH"
1071,"Chexbres","Waadt","VD","Schweiz","CH"
1072,"Forel (Lavaux)","Waadt","VD","Schweiz","CH"
1073,"Mollie-Margot","Waadt","VD","Schweiz","CH"
1073,"Savigny","Waadt","VD","Schweiz","CH"
1076,"Ferlens VD","Waadt","VD","Schweiz","CH"
1077,"Servion","Waadt","VD","Schweiz","CH"
1078,"Essertes","Waadt","VD","Schweiz","CH"
1080,"Les Cullayes","Waadt","VD","Schweiz","CH"
1081,"Montpreveyres","Waadt","VD","Schweiz","CH"
1082,"Corcelles-le-Jorat","Waadt","VD","Schweiz","CH"
1083,"Mézières VD","Waadt","VD","Schweiz","CH"
1084,"Carrouge VD","Waadt","VD","Schweiz","CH"
1085,"Vulliens","Waadt","VD","Schweiz","CH"
1088,"Ropraz","Waadt","VD","Schweiz","CH"
1090,"La Croix (Lutry)","Waadt","VD","Schweiz","CH"
1091,"Aran","Waadt","VD","Schweiz","CH"
1091,"Chenaux","Waadt","VD","Schweiz","CH"
1091,"Grandvaux","Waadt","VD","Schweiz","CH"
1092,"Belmont-sur-Lausanne","Waadt","VD","Schweiz","CH"
1093,"La Conversion","Waadt","VD","Schweiz","CH"
1094,"Paudex","Waadt","VD","Schweiz","CH"
1095,"Lutry","Waadt","VD","Schweiz","CH"
1096,"Villette (Lavaux)","Waadt","VD","Schweiz","CH"
1096,"Cully","Waadt","VD","Schweiz","CH"
1097,"Riex","Waadt","VD","Schweiz","CH"
1098,"Epesses","Waadt","VD","Schweiz","CH"
1110,"Morges","Waadt","VD","Schweiz","CH"
1112,"Echichens","Waadt","VD","Schweiz","CH"
1113,"St-Saphorin-sur-Morges","Waadt","VD","Schweiz","CH"
1114,"Colombier VD","Waadt","VD","Schweiz","CH"
1115,"Vullierens","Waadt","VD","Schweiz","CH"
1116,"Cottens VD","Waadt","VD","Schweiz","CH"
1117,"Grancy","Waadt","VD","Schweiz","CH"
1121,"Bremblens","Waadt","VD","Schweiz","CH"
1122,"Romanel-sur-Morges","Waadt","VD","Schweiz","CH"
1123,"Aclens","Waadt","VD","Schweiz","CH"
1124,"Gollion","Waadt","VD","Schweiz","CH"
1125,"Monnaz","Waadt","VD","Schweiz","CH"
1126,"Vaux-sur-Morges","Waadt","VD","Schweiz","CH"
1127,"Clarmont","Waadt","VD","Schweiz","CH"
1128,"Reverolle","Waadt","VD","Schweiz","CH"
1131,"Tolochenaz","Waadt","VD","Schweiz","CH"
1132,"Lully VD","Waadt","VD","Schweiz","CH"
1134,"Vufflens-le-Château","Waadt","VD","Schweiz","CH"
1134,"Chigny","Waadt","VD","Schweiz","CH"
1135,"Denens","Waadt","VD","Schweiz","CH"
1136,"Bussy-Chardonney","Waadt","VD","Schweiz","CH"
1141,"Sévery","Waadt","VD","Schweiz","CH"
1142,"Pampigny","Waadt","VD","Schweiz","CH"
1143,"Apples","Waadt","VD","Schweiz","CH"
1144,"Ballens","Waadt","VD","Schweiz","CH"
1145,"Bière","Waadt","VD","Schweiz","CH"
1146,"Mollens VD","Waadt","VD","Schweiz","CH"
1147,"Montricher","Waadt","VD","Schweiz","CH"
1148,"Cuarnens","Waadt","VD","Schweiz","CH"
1148,"Moiry VD","Waadt","VD","Schweiz","CH"
1148,"La Praz","Waadt","VD","Schweiz","CH"
1148,"Mont-la-Ville","Waadt","VD","Schweiz","CH"
1148,"Chavannes-le-Veyron","Waadt","VD","Schweiz","CH"
1148,"Mauraz","Waadt","VD","Schweiz","CH"
1148,"Villars-Bozon","Waadt","VD","Schweiz","CH"
1148,"La Coudre","Waadt","VD","Schweiz","CH"
1148,"L'Isle","Waadt","VD","Schweiz","CH"
1149,"Berolle","Waadt","VD","Schweiz","CH"
1162,"St-Prex","Waadt","VD","Schweiz","CH"
1163,"Etoy","Waadt","VD","Schweiz","CH"
1164,"Buchillon","Waadt","VD","Schweiz","CH"
1165,"Allaman","Waadt","VD","Schweiz","CH"
1166,"Perroy","Waadt","VD","Schweiz","CH"
1167,"Lussy-sur-Morges","Waadt","VD","Schweiz","CH"
1168,"Villars-sous-Yens","Waadt","VD","Schweiz","CH"
1169,"Yens","Waadt","VD","Schweiz","CH"
1170,"Aubonne","Waadt","VD","Schweiz","CH"
1172,"Bougy-Villars","Waadt","VD","Schweiz","CH"
1173,"Féchy","Waadt","VD","Schweiz","CH"
1174,"Montherod","Waadt","VD","Schweiz","CH"
1174,"Pizy","Waadt","VD","Schweiz","CH"
1175,"Lavigny","Waadt","VD","Schweiz","CH"
1176,"St-Livres","Waadt","VD","Schweiz","CH"
1180,"Tartegnin","Waadt","VD","Schweiz","CH"
1180,"Rolle","Waadt","VD","Schweiz","CH"
1182,"Gilly","Waadt","VD","Schweiz","CH"
1183,"Bursins","Waadt","VD","Schweiz","CH"
1184,"Vinzel","Waadt","VD","Schweiz","CH"
