pincode,city,canton,canton_code,country,country_code,longitude,latitude
7000,Eisenstadt,Burgenland,,Österreich,AT,16.5233,47.8457
7000,Sankt Georgen am Leithagebirge,Burgenland,,Österreich,AT,16.55,47.85
7000,Kleinhöflein im Burgenland,Burgenland,,Österreich,AT,16.5041,47.8415
7071,Rust,Burgenland,,Österreich,AT,16.6716,47.8012
2443,Stotzing,Burgenland,,Österreich,AT,16.55,47.9
2443,Leithaprodersdorf,Burgenland,,Österreich,AT,16.4791,47.9335
2443,Loretto,Burgenland,,Österreich,AT,16.5179,47.9156
2485,Wimpassing an der Leitha,Burgenland,,Österreich,AT,16.4333,47.9167
2491,Neufeld an der Leitha,Burgenland,,Österreich,AT,16.3786,47.8656
2491,Hornstein / Vorištan,Burgenland,,Österreich,AT,16.4445,47.8805
2491,Steinbrunn / Štikapron,Burgenland,,Österreich,AT,16.4167,47.8333
7011,Siegendorf / Cindrof,Burgenland,,Österreich,AT,16.5423,47.781
7012,Zagersdorf / Cogrštof,Burgenland,,Österreich,AT,16.5138,47.7647
7013,Klingenbach / Klimpuh,Burgenland,,Österreich,AT,16.5281,47.7728
7033,Zillingtal / Celindof,Burgenland,,Österreich,AT,16.3994,47.7997
7034,Zillingtal / Celindof,Burgenland,,Österreich,AT,16.3994,47.7997
7035,Steinbrunn / Štikapron,Burgenland,,Österreich,AT,16.4167,47.8333
7035,Zillingtal / Celindof,Burgenland,,Österreich,AT,16.3994,47.7997
7041,Wulkaprodersdorf / Vulkaprodrštof,Burgenland,,Österreich,AT,16.5045,47.7975
7051,Großhöflein,Burgenland,,Österreich,AT,16.4804,47.8359
7052,Müllendorf,Burgenland,,Österreich,AT,16.4626,47.8394
7053,Hornstein / Vorištan,Burgenland,,Österreich,AT,16.4445,47.8805
7061,Trausdorf an der Wulka / Trajštof,Burgenland,,Österreich,AT,16.6317,47.8219
7062,Sankt Margarethen im Burgenland,Burgenland,,Österreich,AT,16.6088,47.8034
7063,Oggau am Neusiedler See,Burgenland,,Österreich,AT,16.6667,47.8333
7064,Oslip / Uzlop,Burgenland,,Österreich,AT,16.6196,47.8291
7072,Mörbisch am See,Burgenland,,Österreich,AT,16.6667,47.75
7081,Schützen am Gebirge,Burgenland,,Österreich,AT,16.6233,47.8523
7082,Donnerskirchen,Burgenland,,Österreich,AT,16.6463,47.8942
7083,Purbach am Neusiedler See,Burgenland,,Österreich,AT,16.6956,47.9129
7091,Breitenbrunn,Burgenland,,Österreich,AT,16.7315,47.9445
7521,Gaas,Burgenland,,Österreich,AT,16.463,47.0824
7521,Oberbildein,Burgenland,,Österreich,AT,16.4667,47.1333
7521,Unterbildein,Burgenland,,Österreich,AT,16.4679,47.1284
7521,Winten,Burgenland,,Österreich,AT,16.4445,47.1171
7521,Eberau,Burgenland,,Österreich,AT,16.4604,47.1076
7521,Kulm im Burgenland,Burgenland,,Österreich,AT,16.4524,47.104
7522,Luising,Burgenland,,Österreich,AT,16.4794,47.0139
7522,Kroatisch Ehrensdorf,Burgenland,,Österreich,AT,16.4024,47.1175
7522,Heiligenbrunn,Burgenland,,Österreich,AT,16.4169,47.027
7522,Strem,Burgenland,,Österreich,AT,16.4143,47.045
7522,Deutsch Bieling,Burgenland,,Österreich,AT,16.4333,47.0167
7522,Hagensdorf im Burgenland,Burgenland,,Österreich,AT,16.4554,47.0145
7522,Deutsch Ehrensdorf,Burgenland,,Österreich,AT,16.4142,47.0979
7522,Reinersdorf,Burgenland,,Österreich,AT,16.3888,47.0104
7522,Sumetendorf,Burgenland,,Österreich,AT,16.3935,47.0445
7522,Steinfurt,Burgenland,,Österreich,AT,16.4167,47.0667
7533,Ollersdorf im Burgenland,Burgenland,,Österreich,AT,16.1667,47.1833
7534,Rauchwart,Burgenland,,Österreich,AT,16.2333,47.1333
7534,Olbendorf,Burgenland,,Österreich,AT,16.2,47.1833
7535,Sankt Michael im Burgenland,Burgenland,,Österreich,AT,16.2667,47.1333
7535,Gamischdorf,Burgenland,,Österreich,AT,16.2591,47.1078
7535,Schallendorf im Burgenland,Burgenland,,Österreich,AT,16.25,47.1167
7535,Rauchwart,Burgenland,,Österreich,AT,16.2333,47.1333
7536,Güttenbach / Pinkovac,Burgenland,,Österreich,AT,16.3,47.1667
7537,Neuberg im Burgenland / Nova Gora,Burgenland,,Österreich,AT,16.2209,47.1591
7540,Rehgraben,Burgenland,,Österreich,AT,16.2333,47.0833
7540,Großmürbisch,Burgenland,,Österreich,AT,16.362,47.0164
7540,Moschendorf,Burgenland,,Österreich,AT,16.4773,47.0584
7540,Kleinmürbisch,Burgenland,,Österreich,AT,16.3245,47.033
7540,Sankt Nikolaus,Burgenland,,Österreich,AT,16.3323,47.0462
7540,Glasing,Burgenland,,Österreich,AT,16.3575,47.0433
7540,Krottendorf,Burgenland,,Österreich,AT,16.3071,47.0595
7540,Neustift bei Güssing,Burgenland,,Österreich,AT,16.2667,47.0167
7540,Sulz im Burgenland,Burgenland,,Österreich,AT,16.2696,47.0748
7540,Güssing,Burgenland,,Österreich,AT,16.3243,47.0594
7540,Inzenhof,Burgenland,,Österreich,AT,16.3167,47.0167
7540,Urbersdorf,Burgenland,,Österreich,AT,16.3729,47.0576
7540,Tschanigraben,Burgenland,,Österreich,AT,16.2921,47.0677
7542,Steingraben,Burgenland,,Österreich,AT,16.2743,47.0643
7542,Gerersdorf bei Güssing,Burgenland,,Österreich,AT,16.25,47.0667
7542,Sulz im Burgenland,Burgenland,,Österreich,AT,16.2696,47.0748
7543,Limbach,Burgenland,,Österreich,AT,16.1667,47.0667
7543,Neusiedl,Burgenland,,Österreich,AT,16.1833,47.1
7543,Eisenhüttl,Burgenland,,Österreich,AT,16.2,47.1
7543,Kukmirn,Burgenland,,Österreich,AT,16.2103,47.0754
7544,Tobaj,Burgenland,,Österreich,AT,16.3,47.0833
7544,Tudersdorf,Burgenland,,Österreich,AT,16.2833,47.1
7544,Deutsch Tschantschendorf,Burgenland,,Österreich,AT,16.2833,47.1
7544,Punitz,Burgenland,,Österreich,AT,16.35,47.1167
7544,Hasendorf im Burgenland,Burgenland,,Österreich,AT,16.3,47.0833
7544,Kroatisch Tschantschendorf,Burgenland,,Österreich,AT,16.2864,47.0974
7551,Bocksdorf,Burgenland,,Österreich,AT,16.1667,47.1333
7551,Rohr im Burgenland,Burgenland,,Österreich,AT,16.1667,47.1167
7551,Heugraben,Burgenland,,Österreich,AT,16.1833,47.1167
7551,Stegersbach,Burgenland,,Österreich,AT,16.1667,47.1667
7552,Stinatz / Stinjaki,Burgenland,,Österreich,AT,16.1167,47.2
8291,Burgauberg,Burgenland,,Österreich,AT,16.1235,47.1477
8292,Neudauberg,Burgenland,,Österreich,AT,16.1195,47.1717
8292,Hackerberg,Burgenland,,Österreich,AT,16.1167,47.2
8293,Wörterberg,Burgenland,,Österreich,AT,16.1,47.2167
