pincode,city,canton,canton_code,country,country_code,longitude,latitude
01945,Hermsdorf,Brandenburg,BB,Deutschland,DE,13.8937,51.4055
01945,Schwarzbach,Brandenburg,BB,Deutschland,DE,13.9333,51.45
01945,Ruhland,Brandenburg,BB,Deutschland,DE,13.8664,51.4576
01945,Hohenbocka,Brandenburg,BB,Deutschland,DE,14.0098,51.431
01945,Grünewald,Brandenburg,BB,Deutschland,DE,14,51.4
01945,Kroppen,Brandenburg,BB,Deutschland,DE,13.8,51.3833
01945,Lindenau,Brandenburg,BB,Deutschland,DE,13.7333,51.4
01945,Tettau,Brandenburg,BB,Deutschland,DE,13.7333,51.4333
01945,Guteborn,Brandenburg,BB,Deutschland,DE,13.9333,51.4167
01968,Schipkau,Brandenburg,BB,Deutschland,DE,13.9121,51.5456
01968,Schipkau Hörlitz,Brandenburg,BB,Deutschland,DE,13.9508,51.5299
01968,Senftenberg,Brandenburg,BB,Deutschland,DE,14.0016,51.5252
01979,Lauchhammer,Brandenburg,BB,Deutschland,DE,13.7662,51.4881
01983,Neu-Seeland,Brandenburg,BB,Deutschland,DE,14.1309,51.6214
01983,Großräschen,Brandenburg,BB,Deutschland,DE,14.0109,51.5876
01987,Schwarzheide,Brandenburg,BB,Deutschland,DE,13.8556,51.4767
01990,Frauendorf,Brandenburg,BB,Deutschland,DE,13.7696,51.4148
01990,Ortrand,Brandenburg,BB,Deutschland,DE,13.7598,51.375
01990,Großkmehlen,Brandenburg,BB,Deutschland,DE,13.725,51.379
01993,Schipkau,Brandenburg,BB,Deutschland,DE,13.9121,51.5456
01993,Schipkau Schipkau,Brandenburg,BB,Deutschland,DE,13.8981,51.5101
01994,Schipkau Annahütte,Brandenburg,BB,Deutschland,DE,13.8692,51.5641
01994,Schipkau,Brandenburg,BB,Deutschland,DE,13.9121,51.5456
01994,Schipkau Drochow,Brandenburg,BB,Deutschland,DE,13.9237,51.5693
01994,Schipkau Annahütte,Brandenburg,BB,Deutschland,DE,13.8891,51.5558
01994,Schipkau Annahütte,Brandenburg,BB,Deutschland,DE,13.8955,51.5632
01994,Schipkau Annahütte,Brandenburg,BB,Deutschland,DE,13.8742,51.5623
01994,Schipkau Meuro,Brandenburg,BB,Deutschland,DE,13.9244,51.5504
01994,Schipkau Annahütte,Brandenburg,BB,Deutschland,DE,13.882,51.5614
01996,Hosena,Brandenburg,BB,Deutschland,DE,14.0251,51.4547
01998,Schipkau Meuro,Brandenburg,BB,Deutschland,DE,13.9244,51.5504
01998,Schipkau,Brandenburg,BB,Deutschland,DE,13.9121,51.5456
01998,Schipkau Klettwitz,Brandenburg,BB,Deutschland,DE,13.8994,51.5422
03042,Cottbus,Brandenburg,BB,Deutschland,DE,14.3544,51.7612
03044,Cottbus,Brandenburg,BB,Deutschland,DE,14.3374,51.7754
03046,Cottbus,Brandenburg,BB,Deutschland,DE,14.3197,51.756
03048,Cottbus,Brandenburg,BB,Deutschland,DE,14.3198,51.7403
03050,Cottbus,Brandenburg,BB,Deutschland,DE,14.3347,51.7324
03051,Cottbus,Brandenburg,BB,Deutschland,DE,14.3333,51.7667
03052,Cottbus,Brandenburg,BB,Deutschland,DE,14.3333,51.7667
03053,Cottbus,Brandenburg,BB,Deutschland,DE,14.3333,51.7667
03054,Cottbus,Brandenburg,BB,Deutschland,DE,14.3333,51.7667
03055,Cottbus,Brandenburg,BB,Deutschland,DE,14.3333,51.7667
03058,Groß Oßnig,Brandenburg,BB,Deutschland,DE,14.3592,51.6783
03058,Roggosen,Brandenburg,BB,Deutschland,DE,14.4614,51.7043
03058,Sergen,Brandenburg,BB,Deutschland,DE,14.5025,51.7023
03058,Haasow,Brandenburg,BB,Deutschland,DE,14.4209,51.7426
03058,Klein Döbbern,Brandenburg,BB,Deutschland,DE,14.345,51.6682
03058,Koppatz,Brandenburg,BB,Deutschland,DE,14.4266,51.6962
03058,Frauendorf,Brandenburg,BB,Deutschland,DE,14.3878,51.7007
03058,Kiekebusch,Brandenburg,BB,Deutschland,DE,14.3631,51.7235
03058,Gablenz,Brandenburg,BB,Deutschland,DE,14.5094,51.6865
03058,Laubsdorf,Brandenburg,BB,Deutschland,DE,14.442,51.6744
03058,Kathlow,Brandenburg,BB,Deutschland,DE,14.4839,51.7252
03058,Groß Döbbern,Brandenburg,BB,Deutschland,DE,14.3298,51.6515
03058,Neuhausen,Brandenburg,BB,Deutschland,DE,14.4163,51.6788
03058,Gallinchen,Brandenburg,BB,Deutschland,DE,14.3539,51.711
03058,Komptendorf,Brandenburg,BB,Deutschland,DE,14.4727,51.6846
03058,Groß Gaglow,Brandenburg,BB,Deutschland,DE,14.3248,51.7139
03096,Burg (Spreewald),Brandenburg,BB,Deutschland,DE,14.15,51.8333
03096,Guhrow,Brandenburg,BB,Deutschland,DE,14.2294,51.812
03096,Werben,Brandenburg,BB,Deutschland,DE,14.1833,51.8167
03096,Schmogrow-Fehrow,Brandenburg,BB,Deutschland,DE,14.2333,51.85
03096,Briesen,Brandenburg,BB,Deutschland,DE,14.2442,51.8155
03096,Dissen-Striesow,Brandenburg,BB,Deutschland,DE,14.2833,51.825
03099,Kolkwitz,Brandenburg,BB,Deutschland,DE,14.25,51.75
03103,Neupetershain,Brandenburg,BB,Deutschland,DE,14.1651,51.608
03103,Neu-Seeland,Brandenburg,BB,Deutschland,DE,14.1309,51.6214
03116,Drebkau,Brandenburg,BB,Deutschland,DE,14.2232,51.6541
03119,Welzow,Brandenburg,BB,Deutschland,DE,14.1708,51.5838
03130,Bagenz,Brandenburg,BB,Deutschland,DE,14.4332,51.6448
03130,Proschim,Brandenburg,BB,Deutschland,DE,14.1884,51.5514
03130,Haidemühl,Brandenburg,BB,Deutschland,DE,14.2219,51.5518
03130,Spremberg,Brandenburg,BB,Deutschland,DE,14.3739,51.5696
03130,Reuthen,Brandenburg,BB,Deutschland,DE,14.5266,51.5906
03130,Hornow-Wadelsdorf,Brandenburg,BB,Deutschland,DE,14.4917,51.625
03130,Türkendorf,Brandenburg,BB,Deutschland,DE,14.4581,51.591
03130,Tschernitz,Brandenburg,BB,Deutschland,DE,14.6167,51.5833
03130,Felixsee,Brandenburg,BB,Deutschland,DE,14.5208,51.6083
03130,Graustein,Brandenburg,BB,Deutschland,DE,14.4732,51.5729
03130,Wolfshain,Brandenburg,BB,Deutschland,DE,14.589,51.5799
03130,Jämlitz-Klein Düben,Brandenburg,BB,Deutschland,DE,14.6417,51.5667
03130,Groß Luja,Brandenburg,BB,Deutschland,DE,14.4467,51.5978
03130,Drieschnitz-Kahsel,Brandenburg,BB,Deutschland,DE,14.475,51.6667
03130,Lieskau,Brandenburg,BB,Deutschland,DE,14.5271,51.5683
03139,Terpe,Brandenburg,BB,Deutschland,DE,14.3667,51.5667
03149,Forst (Lausitz),Brandenburg,BB,Deutschland,DE,14.598,51.7302
03149,Groß Schacksdorf-Simmersdorf,Brandenburg,BB,Deutschland,DE,14.625,51.7
03149,Wiesengrund,Brandenburg,BB,Deutschland,DE,14.5533,51.6967
03159,Döbern,Brandenburg,BB,Deutschland,DE,14.5981,51.6159
03159,Wiesengrund,Brandenburg,BB,Deutschland,DE,14.5533,51.6967
03159,Neiße-Malxetal,Brandenburg,BB,Deutschland,DE,14.63,51.6433
03172,Guben,Brandenburg,BB,Deutschland,DE,14.7145,51.9499
03172,Pinnow-Heideland,Brandenburg,BB,Deutschland,DE,14.5333,51.9833
03172,Bärenklau,Brandenburg,BB,Deutschland,DE,14.5667,51.9383
03172,Grießen,Brandenburg,BB,Deutschland,DE,14.5924,51.8492
03172,Gastrose-Kerkwitz,Brandenburg,BB,Deutschland,DE,14.65,51.9
03172,Atterwasch,Brandenburg,BB,Deutschland,DE,14.6255,51.9342
03172,Lutzketal,Brandenburg,BB,Deutschland,DE,14.6238,51.9833
03172,Grabko,Brandenburg,BB,Deutschland,DE,14.5756,51.9099
03185,Tauer,Brandenburg,BB,Deutschland,DE,14.45,51.9
03185,Turnow-Preilack,Brandenburg,BB,Deutschland,DE,14.4083,51.875
03185,Heinersbrück,Brandenburg,BB,Deutschland,DE,14.5074,51.8199
03185,Teichland,Brandenburg,BB,Deutschland,DE,14.4444,51.8056
03185,Grötsch,Brandenburg,BB,Deutschland,DE,14.5096,51.7932
03185,Drehnow,Brandenburg,BB,Deutschland,DE,14.3667,51.8667
03185,Peitz,Brandenburg,BB,Deutschland,DE,14.4114,51.8584
03185,Drachhausen,Brandenburg,BB,Deutschland,DE,14.3164,51.8903
03197,Jänschwalde,Brandenburg,BB,Deutschland,DE,14.4981,51.8607
03197,Drewitz,Brandenburg,BB,Deutschland,DE,14.5103,51.8966
03202,Luckow-Petershagen,Brandenburg,BB,Deutschland,DE,14.2573,53.2435
03205,Bischdorf,Brandenburg,BB,Deutschland,DE,13.9698,51.7989
03205,Ogrosen,Brandenburg,BB,Deutschland,DE,14.0422,51.7127
03205,Missen,Brandenburg,BB,Deutschland,DE,14.0498,51.7274
03205,Groß-Mehßow,Brandenburg,BB,Deutschland,DE,13.8167,51.7333
03205,Saßleben,Brandenburg,BB,Deutschland,DE,13.9865,51.7591
03205,Luckaitztal,Brandenburg,BB,Deutschland,DE,14,51.6833
03205,Kemmen,Brandenburg,BB,Deutschland,DE,13.9118,51.7335
03205,Lipten,Brandenburg,BB,Deutschland,DE,13.9271,51.6463
03205,Lug,Brandenburg,BB,Deutschland,DE,13.9296,51.6303
03205,Mlode,Brandenburg,BB,Deutschland,DE,13.9558,51.7746
03205,Laasow,Brandenburg,BB,Deutschland,DE,14.0875,51.7134
03205,Bolschwitz,Brandenburg,BB,Deutschland,DE,14.0293,51.7485
03205,Bronkow,Brandenburg,BB,Deutschland,DE,13.9167,51.6667
03205,Calau,Brandenburg,BB,Deutschland,DE,13.9533,51.744
03205,Werchow,Brandenburg,BB,Deutschland,DE,13.9555,51.7255
03222,Kittlitz,Brandenburg,BB,Deutschland,DE,13.9161,51.8308
03222,Klein Radden,Brandenburg,BB,Deutschland,DE,13.8796,51.8695
03222,Ragow,Brandenburg,BB,Deutschland,DE,13.902,51.8875
03222,Hindenberg,Brandenburg,BB,Deutschland,DE,13.8464,51.8532
03222,Groß Beuchow,Brandenburg,BB,Deutschland,DE,13.9031,51.85
03222,Lübbenau/Spreewald,Brandenburg,BB,Deutschland,DE,13.9613,51.8626
03222,Boblitz,Brandenburg,BB,Deutschland,DE,13.9827,51.8406
03222,Groß-Klessow,Brandenburg,BB,Deutschland,DE,13.95,51.8333
03226,Koßwig,Brandenburg,BB,Deutschland,DE,14.0287,51.7769
03226,Vetschau,Brandenburg,BB,Deutschland,DE,14.0794,51.7864
03226,Leipe,Brandenburg,BB,Deutschland,DE,14.0441,51.8554
03226,Suschow,Brandenburg,BB,Deutschland,DE,14.0923,51.7994
03226,Raddusch,Brandenburg,BB,Deutschland,DE,14.0403,51.8181
03229,Altdöbern,Brandenburg,BB,Deutschland,DE,14.0333,51.65
03229,Luckaitztal,Brandenburg,BB,Deutschland,DE,14,51.6833
03238,Dollenchen,Brandenburg,BB,Deutschland,DE,13.8595,51.6082
03238,Schadewitz,Brandenburg,BB,Deutschland,DE,13.4821,51.5607
03238,Lichterfeld,Brandenburg,BB,Deutschland,DE,13.7781,51.5976
03238,Gorden,Brandenburg,BB,Deutschland,DE,13.6269,51.5332
03238,Fischwasser,Brandenburg,BB,Deutschland,DE,13.6121,51.596
03238,Sallgast,Brandenburg,BB,Deutschland,DE,13.8486,51.5887
03238,Oppelhain,Brandenburg,BB,Deutschland,DE,13.5944,51.5549
03238,Gröbitz,Brandenburg,BB,Deutschland,DE,13.7138,51.6582
03238,Ponnsdorf,Brandenburg,BB,Deutschland,DE,13.6833,51.6667
03238,Göllnitz,Brandenburg,BB,Deutschland,DE,13.8575,51.64
03238,Lindthal,Brandenburg,BB,Deutschland,DE,13.7804,51.6581
03238,Finsterwalde,Brandenburg,BB,Deutschland,DE,13.7066,51.6339
03238,Lugau,Brandenburg,BB,Deutschland,DE,13.5979,51.6109
03238,Lindena,Brandenburg,BB,Deutschland,DE,13.5434,51.5928
03238,Eichholz-Drößig,Brandenburg,BB,Deutschland,DE,13.6583,51.6083
03238,Lieskau,Brandenburg,BB,Deutschland,DE,13.8086,51.6173
03238,Massen,Brandenburg,BB,Deutschland,DE,13.733,51.6428
03238,Münchhausen,Brandenburg,BB,Deutschland,DE,13.6447,51.6673
03238,Staupitz,Brandenburg,BB,Deutschland,DE,13.6703,51.5337
