pincode,city,canton,canton_code,country,country_code,longitude,latitude
75000,Paris,Paris,,France,FR,2.3488,48.8534
75001,Paris 01,Paris,,France,FR,2.3417,48.8592
75001,Paris,Paris,,France,FR,2.3488,48.8534
75002,Paris 02,Paris,,France,FR,2.3426,48.8655
75002,Paris,Paris,,France,FR,2.3488,48.8534
75003,Paris 03,Paris,,France,FR,2.3615,48.8637
75003,Paris,Paris,,France,FR,2.3488,48.8534
75004,Paris 04,Paris,,France,FR,2.3507,48.8601
75004,Paris,Paris,,France,FR,2.3488,48.8534
75005,Paris 05,Paris,,France,FR,2.3471,48.8448
75005,Paris,Paris,,France,FR,2.3488,48.8534
75006,Paris,Paris,,France,FR,2.3488,48.8534
75006,Paris 06,Paris,,France,FR,2.33,48.8493
75007,Paris 07,Paris,,France,FR,2.321,48.8565
75007,Paris,Paris,,France,FR,2.3488,48.8534
75008,Paris 08,Paris,,France,FR,2.3183,48.8763
75008,Paris,Paris,,France,FR,2.3488,48.8534
75009,Paris 09,Paris,,France,FR,2.3399,48.8718
75009,Paris,Paris,,France,FR,2.3488,48.8534
75010,Paris 10,Paris,,France,FR,2.3561,48.8709
75010,Paris,Paris,,France,FR,2.3488,48.8534
75011,Paris 11,Paris,,France,FR,2.3795,48.8574
75011,Paris,Paris,,France,FR,2.3488,48.8534
75012,Paris 12,Paris,,France,FR,2.3876,48.8412
75012,Paris,Paris,,France,FR,2.3488,48.8534
75013,Paris 13,Paris,,France,FR,2.3561,48.8322
75013,Paris,Paris,,France,FR,2.3488,48.8534
75014,Paris 14,Paris,,France,FR,2.3264,48.8331
75014,Paris,Paris,,France,FR,2.3488,48.8534
75015,Paris 15,Paris,,France,FR,2.3003,48.8412
75015,Paris,Paris,,France,FR,2.3488,48.8534
75016,Paris 16,Paris,,France,FR,2.2769,48.8637
75016,Paris,Paris,,France,FR,2.3488,48.8534
75017,Paris 17,Paris,,France,FR,2.3219,48.8835
75017,Paris,Paris,,France,FR,2.3488,48.8534
75018,Paris 18,Paris,,France,FR,2.3444,48.8925
75018,Paris,Paris,,France,FR,2.3488,48.8534
75019,Paris 19,Paris,,France,FR,2.3822,48.8817
75019,Paris,Paris,,France,FR,2.3488,48.8534
75020,Paris 20,Paris,,France,FR,2.3984,48.8646
75020,Paris,Paris,,France,FR,2.3488,48.8534
75021 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75023 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75024 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75026 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75028 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75029 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75030 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75031 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75032 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75033 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75034 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75035 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75036 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75038 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75039 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75040 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75041 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75042 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75043 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75044 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75045 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75046 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75047 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75048 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75049 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75051 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75052 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75053 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75054 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75055 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75056 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75058 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75059 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75060 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75061 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75062 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75063 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75064 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75065 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75066 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75067 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75068 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75069 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75072 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75073 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75074 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75075 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75076 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75077 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75078 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75079 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75080 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75081 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75082 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75083 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75084 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75085 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75086 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75087 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75088 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75089 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75090 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75092 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75093 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75094 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75095 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75096 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75097 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75100 CEDEX 01,Paris 01,Paris,,France,FR,2.3417,48.8592
75101 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75102 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75103 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75104 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75105 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75106 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75107 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75108 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75109 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75110 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75111 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75112 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75113 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75114 CEDEX 08,Paris 08,Paris,,France,FR,2.3183,48.8763
75115 CEDEX 15,Paris 15,Paris,,France,FR,2.3003,48.8412
75116,Paris 16,Paris,,France,FR,2.2769,48.8637
75118 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75119 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75120 CEDEX 02,Paris 02,Paris,,France,FR,2.3426,48.8655
75122 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75123 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75124 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75125 CEDEX 11,Paris 11,Paris,,France,FR,2.3795,48.8574
75126 CEDEX 11,Paris 11,Paris,,France,FR,2.3795,48.8574
75127 CEDEX 11,Paris 11,Paris,,France,FR,2.3795,48.8574
75128 CEDEX 11,Paris 11,Paris,,France,FR,2.3795,48.8574
75129 CEDEX 11,Paris 11,Paris,,France,FR,2.3795,48.8574
75130 CEDEX 11,Paris 11,Paris,,France,FR,2.3795,48.8574
75131 CEDEX 12,Paris 12,Paris,,France,FR,2.3876,48.8412
75134 CEDEX 11,Paris 11,Paris,,France,FR,2.3795,48.8574
75138 CEDEX 07,Paris 07,Paris,,France,FR,2.321,48.8565
75139 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75140 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75141 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75142 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75144 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75150 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75151 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75152 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75153 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75154 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75155 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75156 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75157 CEDEX 03,Paris 03,Paris,,France,FR,2.3615,48.8637
75158 CEDEX 14,Paris 14,Paris,,France,FR,2.3264,48.8331
75159 CEDEX 14,Paris 14,Paris,,France,FR,2.3264,48.8331
75161 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75162 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75163 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75164 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75165 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75166 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75167 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75168 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75169 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75170 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75171 CEDEX 19,Paris 19,Paris,,France,FR,2.3822,48.8817
75172 CEDEX 17,Paris 17,Paris,,France,FR,2.3219,48.8835
75174 CEDEX 17,Paris 17,Paris,,France,FR,2.3219,48.8835
75176 CEDEX 17,Paris 17,Paris,,France,FR,2.3219,48.8835
75177 CEDEX 17,Paris 17,Paris,,France,FR,2.3219,48.8835
75179 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75180 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75181 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75182 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75184 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75186 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75188 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75189 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75191 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75192 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75194 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75195 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75196 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75197 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75198 CEDEX 04,Paris 04,Paris,,France,FR,2.3507,48.8601
75201 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75202 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75203 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75204 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75205 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75206 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75207 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75208 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75209 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75210 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75211 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75212 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75213 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75214 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75215 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75216 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75217 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75218 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75219 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75220 CEDEX 16,Paris 16,Paris,,France,FR,2.2769,48.8637
75221 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75222 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75223 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75224 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75226 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75227 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75228 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75229 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75230 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75231 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75232 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75233 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75234 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75235 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75236 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75237 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75238 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75239 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75240 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75241 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75243 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75244 CEDEX 13,Paris 13,Paris,,France,FR,2.3561,48.8322
75248 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75250 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75252 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75253 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75256 CEDEX 05,Paris 05,Paris,,France,FR,2.3471,48.8448
75260 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75261 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75262 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75263 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75264 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75265 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75266 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75269 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75270 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75272 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75275 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75278 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75279 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75280 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75281 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75282 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75283 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75284 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75288 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75290 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75291 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75292 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75294 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75295 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75298 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75299 CEDEX 06,Paris 06,Paris,,France,FR,2.33,48.8493
75302 CEDEX 07,Paris 07,Paris,,France,FR,2.321,48.8565
75303 SP 07,Paris 07,Paris,,France,FR,2.321,48.8565
